survived,pclass,sex,sibsp,parch,embarked_Q,embarked_S,iage,adult,fare_yj
1,0.5,0,0.0,0.1111111111111111,0.0,1.0,0.17567567567567569,0,0.5720336196948593
1,0.5,0,0.125,0.1111111111111111,0.0,1.0,0.05405405405405406,0,0.5968283627454307
1,0.5,0,0.125,0.0,0.0,0.0,0.40540540540540543,1,0.5200026860657289
0,1.0,1,0.0,0.0,1.0,0.0,0.5,1,0.4296503778942752
1,1.0,0,0.0,0.0,1.0,0.0,0.2972972972972973,1,0.4296503778942752
0,1.0,1,0.0,0.0,1.0,0.0,0.5,1,0.43271155900120944
1,0.0,0,0.0,0.0,0.0,0.0,0.40540540540540543,1,0.7275353274430154
1,0.5,0,0.125,0.1111111111111111,0.0,1.0,0.02702702702702703,0,0.6150673543587448
0,0.0,1,0.125,0.1111111111111111,0.0,0.0,0.6621621621621622,1,0.8169719919443486
1,0.0,1,0.0,0.0,0.0,1.0,0.472972972972973,1,0.6166955849571805
1,0.5,1,0.125,0.1111111111111111,0.0,1.0,0.02702702702702703,0,0.5968283627454307
1,0.5,0,0.125,0.0,0.0,1.0,0.5675675675675675,1,0.6150673543587448
0,0.0,0,0.125,0.2222222222222222,0.0,1.0,0.02702702702702703,0,0.8568332132197545
0,0.5,1,0.0,0.0,0.0,1.0,0.24324324324324326,1,0.5101736838104826
0,1.0,1,0.0,0.0,0.0,1.0,0.3783783783783784,1,0.4360339180487985
0,0.5,1,0.0,0.0,0.0,1.0,0.3783783783783784,1,0.6150673543587448
0,0.5,1,0.0,0.0,0.0,1.0,0.33783783783783783,1,0.5101736838104826
1,1.0,1,0.0,0.0,0.0,1.0,0.32432432432432434,1,0.4175000536928787
1,0.0,0,0.0,0.0,0.0,0.0,0.40540540540540543,1,0.8116388514297272
0,1.0,1,0.0,0.0,0.0,1.0,0.3783783783783784,1,0.4360339180487985
1,1.0,0,0.0,0.0,1.0,0.0,0.31081081081081086,1,0.43271155900120944
1,1.0,0,0.25,0.1111111111111111,0.0,0.0,0.0,0,0.5701499700993213
0,1.0,1,0.0,0.0,0.0,1.0,0.44594594594594594,1,0.44724979002263365
0,1.0,1,0.125,0.0,0.0,0.0,0.35135135135135137,1,0.5264618904058807
0,1.0,1,0.5,0.1111111111111111,1.0,0.0,0.05405405405405406,0,0.6318087098101635
1,0.5,1,0.0,0.0,0.0,0.0,0.2702702702702703,1,0.5200492151170241
0,1.0,0,0.125,0.1111111111111111,0.0,1.0,0.40540540540540543,1,0.6041053596924475
1,0.5,0,0.0,0.1111111111111111,0.0,1.0,0.24324324324324326,1,0.5968283627454307
1,1.0,1,0.0,0.0,0.0,1.0,0.43243243243243246,1,0.43221929853397717
1,0.0,1,0.0,0.0,0.0,0.0,0.43243243243243246,1,0.6385717323141339
0,0.0,1,0.0,0.0,0.0,1.0,0.41891891891891897,1,0.7108221618776445
1,1.0,1,0.0,0.0,0.0,1.0,0.33783783783783783,1,0.0
0,1.0,1,0.0,0.1111111111111111,0.0,1.0,0.5675675675675675,1,0.44270650816551543
0,0.0,1,0.0,0.0,0.0,0.0,0.40540540540540543,1,0.6246928033948878
0,1.0,1,0.0,0.0,0.0,0.0,0.3648648648648649,1,0.41938342708981635
0,1.0,1,0.0,0.0,0.0,0.0,0.35135135135135137,1,0.41929353574874983
0,1.0,1,0.0,0.0,0.0,1.0,0.5540540540540541,1,0.43213644690935543
0,1.0,1,0.0,0.0,0.0,1.0,0.40540540540540543,1,0.4144017333446952
0,1.0,1,0.0,0.0,0.0,1.0,0.43243243243243246,1,0.43303756792998704
1,1.0,0,0.0,0.2222222222222222,0.0,0.0,0.013513513513513514,0,0.5395176749151307
1,1.0,1,0.125,0.1111111111111111,0.0,0.0,0.31081081081081086,1,0.534625895491327
0,0.5,1,0.0,0.0,0.0,1.0,0.24324324324324326,1,0.5101736838104826
0,1.0,1,0.0,0.0,0.0,1.0,0.2702702702702703,1,0.43360938860166093
0,1.0,0,0.0,0.0,0.0,1.0,0.32432432432432434,1,0.45071752765229134
0,0.5,1,0.0,0.0,0.0,1.0,0.7027027027027027,1,0.5159784546881687
0,1.0,1,0.125,0.0,0.0,1.0,0.43243243243243246,1,0.5405645267655037
0,1.0,1,0.0,0.0,0.0,1.0,0.28378378378378377,1,0.4198278514014334
0,0.5,1,0.0,0.0,0.0,1.0,0.44594594594594594,1,0.0
0,0.0,1,0.0,0.0,0.0,0.0,0.6216216216216217,1,0.7656737859773035
0,0.0,1,0.0,0.0,0.0,1.0,0.8378378378378379,1,0.6181656302046712
1,0.0,0,0.125,0.0,0.0,1.0,0.44594594594594594,1,0.7178534663717804
1,0.5,0,0.125,0.2222222222222222,0.0,0.0,0.2972972972972973,1,0.6833512015405744
0,1.0,1,0.0,0.0,0.0,1.0,0.24324324324324326,1,0.4407729936531109
0,1.0,1,0.0,0.0,0.0,1.0,0.41891891891891897,1,0.43064953665312367
1,0.0,0,0.125,0.0,0.0,1.0,0.31081081081081086,1,0.777661068887395
0,1.0,1,0.0,0.0,0.0,0.0,0.3648648648648649,1,0.41938342708981635
0,0.5,1,0.0,0.0,0.0,1.0,0.44594594594594594,1,0.0
1,0.0,1,0.125,0.0,0.0,1.0,0.5135135135135136,1,0.7896186094074922
0,1.0,1,0.0,0.0,0.0,1.0,0.21621621621621623,0,0.4617017724007617
0,1.0,1,0.0,0.0,0.0,0.0,0.35135135135135137,1,0.43303756792998704
0,0.5,1,0.125,0.2222222222222222,0.0,1.0,0.4864864864864865,1,0.6246928033948878
1,1.0,0,0.0,0.0,0.0,1.0,0.2972972972972973,1,0.4198278514014334
1,1.0,0,0.0,0.0,0.0,0.0,0.3648648648648649,1,0.41929353574874983
0,1.0,0,1.0,0.2222222222222222,0.0,1.0,0.40540540540540543,1,0.7550218516416292
0,1.0,1,0.0,0.0,0.0,1.0,0.40540540540540543,1,0.4198278514014334
0,1.0,1,0.0,0.0,0.0,1.0,0.2972972972972973,1,0.45332258198153025
1,0.0,0,0.0,0.1111111111111111,0.0,1.0,0.6891891891891893,1,0.6756553385309104
0,0.0,1,0.0,0.0,0.0,0.0,0.3648648648648649,1,0.6763806934295654
1,1.0,1,0.0,0.0,0.0,1.0,0.32432432432432434,1,0.42610242434815626
0,1.0,1,0.0,0.0,0.0,1.0,0.5135135135135136,1,0.41550193091510945
0,1.0,1,0.0,0.0,1.0,0.0,0.41891891891891897,1,0.43015075214336373
1,1.0,0,0.0,0.2222222222222222,0.0,0.0,0.32432432432432434,1,0.534625895491327
0,0.0,1,0.0,0.1111111111111111,0.0,0.0,0.6891891891891893,1,0.7379287324415094
1,0.0,0,0.125,0.0,0.0,0.0,0.31081081081081086,1,0.8197363363516511
0,1.0,1,0.125,0.0,0.0,1.0,0.33783783783783783,1,0.43064953665312367
0,1.0,1,0.0,0.0,0.0,1.0,0.5405405405405406,1,0.43303756792998704
0,1.0,1,0.125,0.5555555555555556,0.0,1.0,0.5405405405405406,1,0.642764630473663
1,0.5,0,0.0,0.0,0.0,1.0,0.472972972972973,1,0.5831966223757127
1,1.0,0,0.0,0.0,0.0,1.0,0.24324324324324326,1,0.4249871443617522
1,0.0,0,0.0,0.0,0.0,1.0,0.5405405405405406,1,0.8584058590839827
0,0.0,1,0.0,0.0,0.0,0.0,0.4864864864864865,1,0.7656737859773035
1,0.0,0,0.0,0.0,0.0,0.0,0.32432432432432434,1,0.7545322345454382
0,0.0,1,0.0,0.0,0.0,1.0,0.6081081081081081,1,0.6606533889633412
0,1.0,0,0.25,0.0,0.0,1.0,0.24324324324324326,1,0.5599214265140758
0,1.0,0,0.0,0.0,0.0,1.0,0.2702702702702703,1,0.43221929853397717
1,0.0,0,0.0,0.0,0.0,1.0,0.40540540540540543,1,0.7946635294797576
0,0.5,1,0.0,0.0,0.0,1.0,0.43243243243243246,1,0.4772015534264183
0,1.0,0,0.125,0.1111111111111111,0.0,1.0,0.02702702702702703,0,0.5774456307213206
1,1.0,1,0.0,0.0,0.0,1.0,0.43243243243243246,1,0.7264758321065026
1,0.0,0,0.125,0.3333333333333333,0.0,0.0,0.6486486486486487,1,0.9237137756310759
0,1.0,1,0.0,0.0,0.0,1.0,0.3783783783783784,1,0.4617017724007617
1,1.0,0,0.0,0.0,1.0,0.0,0.31081081081081086,1,0.42981667902079995
0,1.0,1,0.125,0.5555555555555556,0.0,1.0,0.5270270270270271,1,0.6422402653146843
0,1.0,1,0.0,0.0,0.0,1.0,0.2567567567567568,1,0.43303756792998704
1,1.0,1,0.0,0.0,0.0,1.0,0.21621621621621623,0,0.4360339180487985
1,0.5,0,0.0,0.0,0.0,1.0,0.28378378378378377,1,0.4772015534264183
1,0.0,1,0.0,0.0,0.0,0.0,0.7567567567567568,1,0.6606533889633412
0,0.5,1,0.0,0.0,0.0,1.0,0.44594594594594594,1,0.0
0,1.0,1,0.0,0.0,0.0,1.0,0.32432432432432434,1,0.45882057822412026
0,0.0,1,0.0,0.0,0.0,0.0,0.5270270270270271,1,0.634677882561335
1,1.0,1,0.0,0.0,0.0,1.0,0.43243243243243246,1,0.4267000172538027
0,1.0,0,0.125,0.0,0.0,1.0,0.3648648648648649,1,0.43360938860166093
0,1.0,1,0.125,0.2222222222222222,0.0,1.0,0.35135135135135137,1,0.5801219417233001
0,1.0,1,0.5,0.1111111111111111,0.0,1.0,0.1891891891891892,0,0.6766967857749167
1,1.0,0,0.0,0.0,1.0,0.0,0.31081081081081086,1,0.43015075214336373
1,0.0,0,0.0,0.0,0.0,1.0,0.28378378378378377,1,0.6181656302046712
1,1.0,0,0.0,0.0,0.0,1.0,0.31081081081081086,1,0.4360339180487985
0,1.0,1,0.0,0.0,0.0,1.0,0.3648648648648649,1,0.43303756792998704
1,1.0,0,0.0,0.0,1.0,0.0,0.31081081081081086,1,0.4299007643369607
0,1.0,1,0.0,0.0,0.0,1.0,0.33783783783783783,1,0.4617017724007617
1,0.0,1,0.125,0.2222222222222222,0.0,1.0,0.14864864864864866,0,0.8271764972400436
0,1.0,1,0.125,0.1111111111111111,0.0,1.0,0.4594594594594595,1,0.5258859573545337
0,1.0,1,0.125,0.0,0.0,1.0,0.40540540540540543,1,0.5429527355960394
0,1.0,1,1.0,0.2222222222222222,0.0,1.0,0.40540540540540543,1,0.7550218516416292
0,0.5,1,0.0,0.0,1.0,0.0,0.8243243243243243,1,0.5022724567703613
0,1.0,1,0.0,0.0,0.0,0.0,0.3648648648648649,1,0.41938342708981635
1,0.5,0,0.0,0.0,0.0,1.0,0.6081081081081081,1,0.5159784546881687
1,1.0,0,0.0,0.2222222222222222,0.0,1.0,0.32432432432432434,1,0.5485292631246054
0,1.0,0,0.125,0.0,0.0,1.0,0.35135135135135137,1,0.5429527355960394
0,0.5,1,0.0,0.0,0.0,0.0,0.40540540540540543,1,0.5379326811920876
0,1.0,1,0.25,0.0,0.0,1.0,0.28378378378378377,1,0.6041053596924475
0,1.0,1,0.0,0.0,0.0,1.0,0.21621621621621623,0,0.43064953665312367
1,1.0,0,0.0,0.0,0.0,1.0,0.2972972972972973,1,0.43064953665312367
0,1.0,1,0.0,0.0,0.0,0.0,0.35135135135135137,1,0.43303756792998704
0,0.5,1,0.125,0.0,0.0,1.0,0.7297297297297298,1,0.6150673543587448
0,1.0,1,0.125,0.0,0.0,1.0,0.31081081081081086,1,0.5204640051031587
0,1.0,0,0.125,0.2222222222222222,0.0,1.0,0.35135135135135137,1,0.5997212176323445
0,1.0,1,0.125,0.0,1.0,0.0,0.5,1,0.43015075214336373
0,0.0,1,0.25,0.0,1.0,0.0,0.5945945945945946,1,0.7896186094074922
1,0.0,0,0.25,0.0,0.0,1.0,0.7432432432432433,1,0.6133476136970214
1,0.0,0,0.0,0.0,0.0,1.0,0.28378378378378377,1,0.770449805635961
1,0.5,1,0.0,0.2222222222222222,0.0,0.0,0.013513513513513514,0,0.6666420337374167
1,1.0,1,0.0,0.0,1.0,0.0,0.5,1,0.43015075214336373
1,0.0,1,0.125,0.0,0.0,0.0,0.6486486486486487,1,0.7683119812533681
0,0.0,1,0.0,0.0,0.0,1.0,0.4864864864864865,1,0.6586016528402159
0,1.0,1,0.0,0.0,0.0,0.0,0.2702702702702703,1,0.41929353574874983
0,0.5,1,0.0,0.0,0.0,1.0,0.44594594594594594,1,0.5013332905122008
1,0.0,0,0.125,0.0,0.0,0.0,0.33783783783783783,1,0.7238613954174038
